regime,state,group,year,ci90_width,width_pct_change_vs_main
tight_combined,Goa,Pre2001,2040,0.5636338910537895,7.787262720615791
tight_combined,Goa,Pre2001,2050,0.5727188684422433,2.5582032377961315
tight_combined,Gujarat,By2016,2030,0.4774436396663966,3.756749269650811
tight_combined,Gujarat,By2016,2040,0.5846451644477271,1.8498405602491632
tight_combined,Gujarat,By2016,2050,0.6162618087320848,1.392565187008038
tight_combined,Haryana,By2016,2030,0.4960507948710251,3.114890332038244
tight_combined,Haryana,By2016,2040,0.6044566444740282,0.6388848168419745
tight_combined,Haryana,By2016,2050,0.6259394491678683,0.09317519254944581
tight_combined,Himachal Pradesh,By2011,2030,0.45424392196652086,4.425623610497447
tight_combined,Himachal Pradesh,By2011,2040,0.5379976812877292,1.0683554499658874
tight_combined,Himachal Pradesh,By2011,2050,0.5908440652916396,4.716622137218939
tight_combined,Jammu & Kashmir,By2016,2030,0.3996846191530592,5.1143488842469305
tight_combined,Jammu & Kashmir,By2016,2040,0.5155713521582554,2.9353116661838032
tight_combined,Jammu & Kashmir,By2016,2050,0.5545501438441605,2.6976004154842985
tight_combined,Jharkhand,NotYet,2030,0.5005256821404025,1.6845676675427765
tight_combined,Jharkhand,NotYet,2040,0.6141792823707426,-2.4884494421229126
tight_combined,Jharkhand,NotYet,2050,0.6660819100712718,-1.4398380656335532
tight_combined,Karnataka,By2011,2030,0.44828038414939053,1.6773435997857098
tight_combined,Karnataka,By2011,2040,0.5472202893914775,4.192981924087091
tight_combined,Karnataka,By2011,2050,0.5796073947414511,4.300504711748219
tight_combined,Kerala,Pre2001,2030,0.44019034495310283,8.693129382522478
tight_combined,Kerala,Pre2001,2040,0.5476700304956434,9.21475656108605
tight_combined,Kerala,Pre2001,2050,0.5886583432354286,7.415172400289438
tight_combined,Ladakh,By2016,2030,0.4092659316940781,6.2330925891399565
tight_combined,Ladakh,By2016,2040,0.49925488046943034,5.250699988648698
tight_combined,Ladakh,By2016,2050,0.5420796016012359,5.107230957795206
tight_combined,Lakshadweep,By2011,2030,0.5501097746951404,2.184384215166314
tight_combined,Lakshadweep,By2011,2040,0.6113643196084197,1.7483405961038825
tight_combined,Lakshadweep,By2011,2050,0.6178667784029206,4.373262942595132
tight_combined,Madhya Pradesh,By2021,2030,0.5502309368945191,2.0090325924302177
tight_combined,Madhya Pradesh,By2021,2040,0.67389153474783825,-0.8399322174724095
tight_combined,Madhya Pradesh,By2021,2050,0.721168384414121,1.7218363842907098
tight_combined,Maharashtra,By2016,2030,0.39374788264314664,6.176999091477319
tight_combined,Maharashtra,By2016,2040,0.5153191131940329,5.278057329601729
tight_combined,Maharashtra,By2016,2050,0.5506192523416902,2.35214062617895
tight_combined,Manipur,NotYet,2030,0.503332860234809,3.0437494538019987
tight_combined,Manipur,NotYet,2040,0.5622199496768856,2.9257147768166254
tight_combined,Manipur,NotYet,2050,0.5937646840627797,2.9807550979277404
tight_combined,Meghalaya,NotYet,2030,0.6872756288744857,-1.4772550705005112
tight_combined,Meghalaya,NotYet,2040,0.732733574387157,-1.4051217995730942
tight_combined,Meghalaya,NotYet,2050,0.7411113045834972,-2.3221699014728885
